"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","344","Авторизаиця с корректными учетными данными","","Fri Feb 06 08:52:38 UTC 2026","passed","Fri Feb 06 08:52:38 UTC 2026","","test_lesson20Page2","",""
"","149","test_select_multiple[chromium]","","Fri Feb 06 08:52:40 UTC 2026","passed","Fri Feb 06 08:52:40 UTC 2026","","test_lesson6","",""
"","3223","test_zagruzka[chromium]","","Fri Feb 06 08:52:53 UTC 2026","passed","Fri Feb 06 08:52:56 UTC 2026","","test_lesson8Zagruzka","",""
"","2167","test_or[chromium]","","Fri Feb 06 08:52:38 UTC 2026","passed","Fri Feb 06 08:52:40 UTC 2026","","test_lesson5","",""
"","158","test_select[chromium]","","Fri Feb 06 08:52:40 UTC 2026","passed","Fri Feb 06 08:52:40 UTC 2026","","test_lesson6","",""
"","7204","test_todo[chromium]","","Fri Feb 06 08:52:27 UTC 2026","failed","Fri Feb 06 08:52:34 UTC 2026","","test_lesson12","",""
"","34","test_stepik_text[chromium]","","Fri Feb 06 08:52:36 UTC 2026","passed","Fri Feb 06 08:52:36 UTC 2026","","test_lesson16ChangeWeb","",""
"","329","test_mock_tags[chromium]","","Fri Feb 06 08:52:23 UTC 2026","passed","Fri Feb 06 08:52:23 UTC 2026","","test_lessen15MOKAPI","",""
"","5804","test_add_todo","","Fri Feb 06 08:53:25 UTC 2026","passed","Fri Feb 06 08:53:30 UTC 2026","","test_todo","",""
"","378","test_login_success[chromium-user-user]","","Fri Feb 06 08:52:37 UTC 2026","passed","Fri Feb 06 08:52:37 UTC 2026","","test_lesson19ParamsPage","",""
"","225","test_login_failure[chromium]","","Fri Feb 06 08:52:36 UTC 2026","passed","Fri Feb 06 08:52:37 UTC 2026","","test_lesson17ClassPage","",""
"","347","Авторизаиця с корректными учетными данными","","Fri Feb 06 08:53:19 UTC 2026","passed","Fri Feb 06 08:53:20 UTC 2026","","test_lesson20Page2","",""
"","0","Авторизаиця с корректными учетными данными Нины","","Fri Feb 06 08:52:37 UTC 2026","broken","Fri Feb 06 08:52:37 UTC 2026","","test_lesson18Pages","",""
"","382","test_login_success[chromium-admin-admin]","","Fri Feb 06 08:53:19 UTC 2026","passed","Fri Feb 06 08:53:19 UTC 2026","","test_lesson19ParamsPage","",""
"","4841","test_run","","Fri Feb 06 08:53:08 UTC 2026","passed","Fri Feb 06 08:53:13 UTC 2026","","test_lessin2","",""
"","207","test_inner[chromium]","","Fri Feb 06 08:52:23 UTC 2026","passed","Fri Feb 06 08:52:24 UTC 2026","","test_lesson10Izvlechdannie","",""
"","11847","test_download[chromium]","","Fri Feb 06 08:52:56 UTC 2026","passed","Fri Feb 06 08:53:08 UTC 2026","","test_lesson9Skachat","",""
"","2178","test_drag_and_drop[chromium]","","Fri Feb 06 08:52:41 UTC 2026","passed","Fri Feb 06 08:52:43 UTC 2026","","test_lesson6","",""
"","10242","test_dialogs[chromium]","","Fri Feb 06 08:52:43 UTC 2026","passed","Fri Feb 06 08:52:53 UTC 2026","","test_lesson7","",""
"","1412","test_listen_network[chromium]","","Fri Feb 06 08:52:34 UTC 2026","passed","Fri Feb 06 08:52:36 UTC 2026","","test_lesson13","",""
"","228","Авторизаиця с недействительными учетными данными","","Fri Feb 06 08:52:37 UTC 2026","failed","Fri Feb 06 08:52:37 UTC 2026","","test_lesson20Page2","",""
"","5788","test_run","","Fri Feb 06 08:53:13 UTC 2026","passed","Fri Feb 06 08:53:19 UTC 2026","","test_lesson1","",""
"","4889","test_run","","Fri Feb 06 08:53:20 UTC 2026","passed","Fri Feb 06 08:53:25 UTC 2026","","test_lesson3","",""
"","557","test_cart_zero_quantity[chromium]","","Fri Feb 06 08:52:36 UTC 2026","passed","Fri Feb 06 08:52:36 UTC 2026","","test_lesson14MOK","",""
"","3249","test_tab[chromium]","","Fri Feb 06 08:52:24 UTC 2026","passed","Fri Feb 06 08:52:27 UTC 2026","","test_lesson11tab","",""
